,Angles,Phase,Correction
0,"[1, 176, 177, 0, 180, 15, 177, 178]",1,0
1,"[2, 176, 177, 0, 180, 14, 178, 178]",1,0
2,"[2, 176, 177, 0, 180, 14, 179, 178]",1,0
3,"[2, 176, 177, 0, 179, 14, 179, 178]",1,0
4,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
5,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
6,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
7,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
8,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
9,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
10,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
11,"[2, 176, 177, 0, 179, 14, 179, 179]",1,0
12,"[2, 175, 177, 0, 179, 14, 179, 179]",1,0
13,"[2, 175, 177, 0, 179, 13, 180, 179]",1,0
14,"[2, 174, 177, 0, 179, 13, 180, 179]",1,0
15,"[2, 174, 176, 0, 179, 13, 180, 178]",1,0
16,"[2, 173, 176, 0, 179, 13, 180, 178]",1,0
17,"[2, 173, 176, 0, 179, 13, 180, 178]",1,0
18,"[2, 172, 175, 0, 179, 13, 180, 178]",1,0
19,"[2, 172, 175, 0, 179, 13, 180, 178]",1,0
20,"[2, 171, 174, 0, 179, 13, 180, 178]",1,0
21,"[2, 171, 173, 0, 179, 13, 180, 178]",0,0
22,"[2, 170, 172, 0, 179, 13, 180, 178]",0,0
23,"[2, 167, 170, 0, 179, 13, 180, 178]",0,0
24,"[2, 165, 169, 0, 179, 13, 179, 178]",0,0
25,"[2, 163, 167, 0, 179, 13, 179, 178]",0,0
26,"[2, 161, 164, 0, 179, 13, 179, 179]",0,0
27,"[1, 155, 154, 0, 179, 13, 179, 179]",0,0
28,"[1, 141, 139, 0, 180, 13, 179, 179]",0,0
29,"[1, 114, 128, 0, 180, 12, 179, 179]",0,0
30,"[1, 108, 110, 0, 180, 12, 179, 179]",0,0
31,"[1, 59, 70, 0, 180, 12, 179, 179]",0,0
32,"[1, 26, 36, 0, 179, 12, 179, 179]",0,0
33,"[1, 21, 22, 0, 179, 12, 179, 179]",0,0
34,"[1, 17, 20, 0, 179, 12, 179, 179]",0,0
35,"[1, 14, 17, 0, 179, 12, 179, 179]",0,0
36,"[1, 13, 15, 0, 179, 12, 179, 179]",0,0
37,"[1, 12, 13, 0, 179, 12, 179, 179]",2,0
38,"[0, 12, 12, 0, 179, 12, 179, 179]",2,0
39,"[1, 11, 11, 0, 179, 12, 179, 179]",2,0
40,"[1, 11, 9, 0, 179, 12, 179, 178]",2,0
41,"[1, 10, 9, 0, 179, 12, 179, 178]",2,0
42,"[1, 10, 9, 0, 179, 12, 179, 178]",2,0
43,"[1, 9, 9, 0, 179, 13, 179, 178]",2,0
44,"[1, 9, 9, 0, 179, 13, 179, 178]",2,0
45,"[2, 8, 8, 0, 179, 13, 179, 178]",2,0
46,"[2, 8, 8, 0, 179, 13, 179, 178]",2,0
47,"[2, 8, 8, 0, 179, 13, 179, 178]",2,0
48,"[2, 8, 8, 0, 179, 13, 179, 178]",2,0
49,"[2, 8, 8, 0, 179, 13, 179, 178]",2,0
50,"[2, 7, 8, 0, 179, 13, 179, 178]",2,0
51,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
52,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
53,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
54,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
55,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
56,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
57,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
58,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
59,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
60,"[3, 7, 8, 0, 179, 13, 179, 178]",2,0
61,"[3, 7, 8, 0, 179, 13, 179, 179]",2,0
62,"[3, 7, 8, 0, 179, 13, 179, 179]",2,0
63,"[3, 7, 8, 0, 179, 13, 179, 179]",2,0
64,"[3, 7, 8, 0, 179, 13, 179, 179]",2,0
65,"[3, 7, 8, 0, 179, 13, 179, 179]",2,0
66,"[3, 7, 8, 0, 179, 13, 179, 179]",2,0
67,"[3, 7, 8, 0, 178, 13, 179, 179]",2,0
68,"[3, 7, 8, 0, 178, 13, 179, 179]",2,0
69,"[3, 7, 8, 0, 178, 13, 179, 179]",2,0
70,"[3, 8, 8, 0, 178, 13, 179, 179]",2,0
71,"[3, 8, 8, 0, 178, 13, 179, 179]",2,0
72,"[3, 8, 8, 0, 178, 13, 179, 179]",2,0
73,"[3, 8, 8, 0, 178, 13, 179, 179]",2,0
74,"[2, 9, 8, 0, 178, 13, 179, 179]",2,0
75,"[2, 9, 8, 0, 178, 13, 179, 179]",2,0
76,"[2, 10, 8, 0, 179, 13, 179, 179]",2,0
77,"[2, 10, 9, 0, 179, 13, 179, 179]",2,0
78,"[2, 11, 10, 0, 179, 13, 179, 178]",2,0
79,"[2, 12, 11, 0, 179, 13, 179, 178]",2,0
80,"[1, 13, 12, 0, 179, 13, 179, 178]",2,0
81,"[1, 13, 13, 0, 179, 13, 179, 178]",2,0
82,"[1, 14, 15, 0, 179, 13, 179, 178]",2,0
83,"[1, 15, 17, 0, 179, 13, 179, 178]",2,0
84,"[1, 16, 17, 0, 179, 13, 179, 178]",2,0
85,"[0, 18, 19, 0, 179, 13, 179, 178]",0,0
86,"[0, 22, 24, 0, 179, 13, 179, 179]",0,0
87,"[0, 27, 39, 0, 179, 13, 179, 179]",0,90
88,"[0, 33, 49, 0, 180, 13, 179, 179]",0,90
89,"[0, 50, 67, 0, 180, 13, 179, 179]",0,90
90,"[0, 92, 106, 0, 180, 13, 179, 180]",0,90
91,"[0, 131, 132, 0, 179, 13, 179, 180]",0,0
92,"[0, 161, 150, 0, 179, 13, 179, 180]",0,0
