,Angles,Phase,Correction
1,"[4, 169, 173, 0, 179, 39, 175, 176]",1,0
0,"[3, 169, 173, 0, 180, 39, 175, 176]",1,0
2,"[4, 168, 174, 0, 179, 39, 175, 176]",1,0
3,"[5, 169, 174, 0, 179, 40, 175, 175]",1,0
4,"[6, 170, 173, 0, 178, 40, 175, 175]",1,0
5,"[7, 170, 173, 0, 178, 40, 175, 174]",1,0
6,"[7, 170, 172, 0, 178, 40, 176, 174]",1,0
7,"[7, 170, 172, 0, 177, 40, 176, 174]",1,0
8,"[6, 170, 172, 0, 177, 40, 176, 174]",1,0
9,"[6, 169, 172, 0, 177, 40, 176, 174]",1,0
10,"[6, 169, 170, 0, 177, 40, 175, 174]",1,0
11,"[6, 168, 167, 0, 176, 40, 176, 174]",1,0
12,"[6, 168, 167, 0, 176, 40, 176, 174]",1,0
13,"[7, 167, 166, 0, 175, 41, 177, 174]",1,0
14,"[7, 166, 167, 0, 175, 41, 177, 174]",1,0
15,"[8, 165, 167, 0, 175, 41, 177, 174]",1,0
16,"[8, 165, 166, 0, 175, 41, 178, 174]",1,0
17,"[7, 164, 166, 0, 175, 41, 177, 174]",1,0
18,"[7, 164, 166, 0, 175, 41, 177, 174]",1,0
19,"[5, 165, 164, 0, 175, 41, 177, 174]",1,0
20,"[4, 164, 163, 0, 175, 42, 177, 173]",1,0
21,"[3, 163, 163, 0, 176, 42, 177, 173]",1,0
22,"[3, 162, 162, 0, 175, 42, 178, 173]",1,0
23,"[2, 162, 162, 0, 175, 42, 178, 172]",1,0
24,"[2, 161, 162, 0, 175, 42, 178, 172]",1,0
25,"[2, 160, 161, 0, 175, 42, 179, 172]",1,0
26,"[3, 160, 161, 0, 174, 42, 179, 171]",1,0
27,"[3, 161, 161, 0, 174, 42, 179, 171]",1,0
28,"[3, 161, 161, 0, 174, 41, 179, 171]",1,0
29,"[4, 162, 161, 0, 174, 41, 179, 171]",1,0
30,"[5, 162, 161, 0, 174, 41, 179, 171]",1,0
31,"[6, 161, 162, 0, 174, 41, 179, 171]",1,0
32,"[7, 161, 164, 0, 174, 41, 180, 171]",1,0
33,"[7, 160, 166, 0, 174, 41, 180, 171]",1,0
34,"[7, 159, 167, 0, 174, 41, 180, 171]",1,0
35,"[6, 158, 168, 0, 174, 41, 180, 171]",1,0
36,"[6, 158, 169, 0, 174, 41, 179, 171]",1,0
37,"[6, 158, 170, 0, 174, 41, 179, 171]",1,0
38,"[6, 158, 170, 0, 174, 41, 179, 172]",1,0
39,"[5, 158, 170, 0, 175, 41, 179, 172]",1,0
40,"[5, 158, 170, 0, 175, 41, 179, 172]",1,0
41,"[6, 158, 170, 0, 175, 41, 179, 173]",1,0
42,"[6, 158, 170, 0, 175, 41, 179, 173]",1,0
43,"[6, 158, 169, 0, 175, 41, 179, 173]",1,0
44,"[6, 158, 169, 0, 175, 41, 179, 173]",1,0
45,"[6, 159, 169, 0, 175, 40, 179, 173]",1,0
46,"[7, 159, 169, 0, 175, 40, 179, 173]",1,0
47,"[7, 160, 169, 0, 175, 40, 179, 173]",1,0
48,"[7, 160, 169, 0, 175, 40, 179, 174]",1,0
49,"[7, 160, 169, 0, 175, 40, 179, 174]",1,0
50,"[7, 160, 168, 0, 176, 40, 179, 175]",1,0
51,"[7, 159, 168, 0, 176, 40, 179, 175]",1,0
52,"[7, 159, 167, 0, 176, 40, 179, 175]",1,0
53,"[7, 159, 167, 0, 176, 40, 178, 175]",1,0
54,"[7, 159, 167, 0, 176, 40, 179, 175]",1,0
55,"[7, 159, 167, 0, 176, 40, 179, 176]",1,0
56,"[7, 160, 167, 0, 176, 40, 179, 176]",1,0
57,"[7, 160, 167, 0, 176, 40, 179, 176]",1,0
