,Angles,Phase,Correction
0,"[9, 172, 168, 0, 176, 8, 180, 175]",1,2
1,"[9, 172, 166, 0, 176, 8, 180, 176]",1,2
2,"[9, 172, 165, 0, 176, 9, 179, 176]",1,2
3,"[9, 173, 165, 0, 176, 9, 179, 176]",1,2
4,"[9, 175, 165, 0, 176, 9, 179, 176]",1,2
5,"[8, 175, 165, 0, 176, 9, 179, 176]",1,2
6,"[8, 176, 165, 0, 176, 9, 179, 176]",1,2
7,"[8, 176, 165, 0, 176, 9, 179, 176]",1,2
8,"[8, 175, 165, 0, 176, 9, 179, 176]",1,2
9,"[9, 174, 165, 0, 176, 9, 179, 176]",1,2
10,"[9, 174, 166, 0, 176, 9, 179, 176]",1,2
11,"[9, 173, 166, 0, 176, 9, 179, 175]",1,2
12,"[8, 173, 167, 0, 176, 9, 179, 175]",1,2
13,"[9, 174, 167, 0, 176, 9, 179, 175]",1,2
14,"[9, 174, 167, 0, 176, 9, 179, 175]",1,2
15,"[9, 175, 168, 0, 176, 9, 179, 175]",1,2
16,"[9, 175, 168, 0, 176, 9, 179, 175]",1,2
17,"[9, 176, 168, 0, 176, 9, 179, 175]",1,2
18,"[9, 176, 168, 0, 176, 9, 179, 175]",1,2
19,"[9, 176, 168, 0, 176, 9, 179, 175]",1,2
20,"[9, 177, 168, 0, 176, 9, 179, 175]",1,2
21,"[10, 177, 168, 0, 176, 9, 179, 175]",1,2
22,"[10, 177, 167, 0, 176, 9, 179, 174]",1,2
23,"[10, 177, 167, 0, 176, 9, 179, 174]",1,2
24,"[10, 177, 167, 0, 176, 9, 179, 174]",1,2
25,"[11, 176, 166, 0, 176, 9, 179, 174]",1,2
26,"[10, 175, 166, 0, 176, 9, 179, 174]",0,2
27,"[10, 173, 166, 0, 176, 9, 179, 174]",0,2
28,"[10, 172, 166, 0, 176, 9, 179, 174]",0,2
29,"[11, 170, 166, 0, 176, 9, 179, 174]",0,2
30,"[11, 169, 165, 0, 176, 9, 180, 174]",0,2
