,Angles,Phase
0,"[1, 176, 177, 0, 180, 15, 177, 178]",0
1,"[2, 176, 177, 0, 180, 14, 178, 178]",0
2,"[2, 176, 177, 0, 180, 14, 179, 178]",0
3,"[2, 176, 177, 0, 179, 14, 179, 178]",0
4,"[2, 176, 177, 0, 179, 14, 179, 179]",0
5,"[2, 176, 177, 0, 179, 14, 179, 179]",0
6,"[2, 176, 177, 0, 179, 14, 179, 179]",0
7,"[2, 176, 177, 0, 179, 14, 179, 179]",0
8,"[2, 176, 177, 0, 179, 14, 179, 179]",0
9,"[2, 176, 177, 0, 179, 14, 179, 179]",0
10,"[2, 176, 177, 0, 179, 14, 179, 179]",0
11,"[2, 176, 177, 0, 179, 14, 179, 179]",0
12,"[2, 175, 177, 0, 179, 14, 179, 179]",0
13,"[2, 175, 177, 0, 179, 13, 180, 179]",0
14,"[2, 174, 177, 0, 179, 13, 180, 179]",0
15,"[2, 174, 176, 0, 179, 13, 180, 178]",0
16,"[2, 173, 176, 0, 179, 13, 180, 178]",0
17,"[2, 173, 176, 0, 179, 13, 180, 178]",0
18,"[2, 172, 175, 0, 179, 13, 180, 178]",0
19,"[2, 172, 175, 0, 179, 13, 180, 178]",0
20,"[2, 171, 174, 0, 179, 13, 180, 178]",0
21,"[2, 171, 173, 0, 179, 13, 180, 178]",0
22,"[2, 170, 172, 0, 179, 13, 180, 178]",0
23,"[2, 167, 170, 0, 179, 13, 180, 178]",0
24,"[2, 165, 169, 0, 179, 13, 179, 178]",0
25,"[2, 163, 167, 0, 179, 13, 179, 178]",0
26,"[2, 161, 164, 0, 179, 13, 179, 179]",0
27,"[1, 155, 154, 0, 179, 13, 179, 179]",0
28,"[1, 141, 139, 0, 180, 13, 179, 179]",0
29,"[1, 114, 128, 0, 180, 12, 179, 179]",0
30,"[1, 60, 110, 0, 180, 12, 179, 179]",1
31,"[1, 36, 70, 0, 180, 12, 179, 179]",1
32,"[1, 26, 36, 0, 179, 12, 179, 179]",1
33,"[1, 21, 22, 0, 179, 12, 179, 179]",1
34,"[1, 17, 20, 0, 179, 12, 179, 179]",1
35,"[1, 14, 17, 0, 179, 12, 179, 179]",1
36,"[1, 13, 15, 0, 179, 12, 179, 179]",1
37,"[1, 12, 13, 0, 179, 12, 179, 179]",1
38,"[0, 12, 12, 0, 179, 12, 179, 179]",1
39,"[1, 11, 11, 0, 179, 12, 179, 179]",1
