,Angles,Phase,Score
0,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
1,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
2,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
3,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
4,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
5,"[3, 179, 178, 0, 180, 10, 178, 178]","Down",100
6,"[3, 180, 178, 0, 180, 10, 178, 178]","Down",100
7,"[3, 180, 178, 0, 180, 10, 177, 178]","Down",100
8,"[3, 179, 178, 0, 180, 10, 178, 178]","Down",100
9,"[3, 179, 178, 0, 180, 10, 177, 178]","Down",100
10,"[2, 179, 178, 0, 180, 10, 177, 178]","Down",100
11,"[2, 179, 178, 0, 180, 10, 177, 177]","Down",100
12,"[2, 179, 178, 0, 180, 10, 178, 177]","Down",100
13,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
14,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
15,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
16,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
17,"[3, 180, 178, 0, 180, 10, 178, 177]","Down",100
18,"[3, 180, 178, 0, 180, 10, 178, 177]","Down",100
19,"[3, 179, 178, 0, 180, 10, 178, 177]","Down",100
20,"[3, 179, 178, 0, 180, 10, 179, 177]","Down",100
21,"[3, 179, 178, 0, 180, 10, 179, 177]","Down",100
22,"[3, 179, 177, 0, 180, 10, 179, 178]","Down",100
23,"[2, 179, 177, 0, 180, 10, 179, 178]","Null",100
24,"[2, 178, 177, 0, 180, 9, 179, 178]","Null",100
25,"[2, 178, 178, 0, 180, 9, 179, 178]","Null",100
26,"[2, 178, 177, 0, 180, 9, 179, 178]","Null",100
27,"[2, 178, 177, 0, 180, 9, 179, 178]","Null",100
28,"[2, 177, 178, 0, 180, 9, 179, 178]","Null",100
29,"[2, 176, 178, 0, 180, 9, 179, 178]","Null",100
30,"[2, 175, 178, 0, 180, 9, 179, 178]","Null",90
31,"[2, 174, 178, 0, 180, 9, 179, 178]","Null",90
32,"[2, 173, 175, 0, 180, 9, 179, 178]","Null",90
33,"[2, 170, 176, 0, 180, 9, 179, 178]","Null",90
34,"[2, 166, 176, 0, 180, 9, 179, 178]","Null",90
35,"[2, 155, 177, 0, 180, 9, 179, 178]","Null",90
36,"[2, 23, 8, 0, 180, 9, 179, 178]","Null",90
37,"[2, 11, 8, 0, 180, 9, 179, 178]","Null",90
38,"[2, 8, 8, 0, 180, 9, 179, 178]","Up",90
39,"[2, 6, 8, 0, 180, 9, 179, 178]","Up",90
40,"[2, 6, 8, 0, 180, 9, 179, 178]","Up",90
41,"[2, 6, 8, 0, 180, 9, 179, 178]","Up",90
42,"[2, 6, 7, 0, 180, 9, 179, 178]","Up",90
43,"[2, 6, 8, 0, 180, 9, 179, 178]","Up",90
44,"[2, 5, 8, 0, 180, 9, 179, 178]","Up",90
45,"[2, 5, 8, 0, 180, 9, 179, 178]","Up",90
46,"[2, 5, 8, 0, 180, 9, 179, 177]","Up",90
47,"[2, 5, 8, 0, 180, 9, 179, 177]","Up",90
48,"[2, 5, 8, 0, 180, 9, 179, 178]","Up",90
49,"[2, 6, 8, 0, 180, 9, 179, 178]","Up",90
50,"[2, 6, 8, 0, 180, 9, 179, 178]","Up",90
51,"[2, 6, 8, 0, 180, 9, 179, 178]","Up",90
52,"[2, 6, 9, 0, 180, 9, 179, 178]","Up",90
53,"[2, 6, 9, 0, 180, 9, 179, 178]","Up",90
54,"[2, 6, 9, 0, 180, 9, 180, 178]","Up",90
55,"[2, 6, 9, 0, 179, 9, 180, 178]","Up",90
56,"[2, 6, 9, 0, 179, 9, 180, 178]","Up",90
57,"[2, 6, 10, 0, 179, 9, 180, 178]","Up",90
58,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
59,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
60,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
61,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
62,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
63,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
64,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
65,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
66,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
67,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",90
68,"[2, 7, 10, 0, 179, 9, 180, 178]","Up",100
69,"[1, 7, 10, 0, 179, 9, 180, 178]","Up",100
70,"[1, 7, 10, 0, 179, 9, 180, 178]","Up",100
71,"[1, 6, 10, 0, 179, 9, 180, 178]","Up",100
72,"[1, 6, 10, 0, 179, 9, 180, 178]","Up",100
73,"[1, 6, 10, 0, 179, 9, 180, 178]","Up",100
74,"[1, 5, 11, 0, 179, 9, 180, 178]","Up",100
75,"[1, 5, 11, 0, 179, 9, 180, 178]","Up",100
76,"[1, 5, 12, 0, 179, 9, 180, 178]","Up",100
77,"[1, 5, 12, 0, 179, 9, 180, 178]","Up",100
78,"[1, 5, 12, 0, 179, 9, 180, 177]","Up",100
