,Angles,Phase,Correction
0,"[1, 176, 177, 0, 180, 15, 177, 178]",,Widen your legs
1,"[2, 176, 177, 0, 180, 14, 178, 178]",,Widen your legs
2,"[2, 176, 177, 0, 180, 14, 179, 178]",,Widen your legs
3,"[2, 176, 177, 0, 179, 14, 179, 178]",,Widen your legs
4,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
5,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
6,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
7,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
8,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
9,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
10,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
11,"[2, 176, 177, 0, 179, 14, 179, 179]",,Widen your legs
12,"[2, 175, 177, 0, 179, 14, 179, 179]",,Widen your legs
13,"[2, 175, 177, 0, 179, 13, 180, 179]",,Widen your legs
14,"[2, 174, 177, 0, 179, 13, 180, 179]",,Widen your legs
15,"[2, 174, 176, 0, 179, 13, 180, 178]",,Widen your legs
16,"[2, 173, 176, 0, 179, 13, 180, 178]",,Widen your legs
17,"[2, 173, 176, 0, 179, 13, 180, 178]",,Widen your legs
18,"[2, 172, 175, 0, 179, 13, 180, 178]",,Widen your legs
19,"[2, 172, 175, 0, 179, 13, 180, 178]",,Widen your legs
20,"[2, 171, 174, 0, 179, 13, 180, 178]",,Widen your legs
21,"[2, 171, 173, 0, 179, 13, 180, 178]",,Widen your legs
22,"[2, 170, 172, 0, 179, 13, 180, 178]",,Widen your legs
23,"[2, 167, 170, 0, 179, 13, 180, 178]",,Widen your legs
24,"[2, 165, 169, 0, 179, 13, 179, 178]",,Widen your legs
25,"[2, 163, 167, 0, 179, 13, 179, 178]",,Widen your legs
26,"[2, 161, 164, 0, 179, 13, 179, 179]",,Widen your legs
27,"[1, 155, 154, 0, 179, 13, 179, 179]",,Widen your legs
28,"[1, 141, 139, 0, 180, 13, 179, 179]",,Widen your legs
29,"[1, 114, 128, 0, 180, 12, 179, 179]",,Widen your legs
30,"[1, 60, 110, 0, 180, 12, 179, 179]",,Widen your legs
31,"[1, 36, 70, 0, 180, 12, 179, 179]",,Widen your legs
32,"[1, 26, 36, 0, 179, 12, 179, 179]",,Widen your legs
33,"[1, 21, 22, 0, 179, 12, 179, 179]",,Widen your legs
34,"[1, 17, 20, 0, 179, 12, 179, 179]",,Widen your legs
35,"[1, 14, 17, 0, 179, 12, 179, 179]",,Widen your legs
36,"[1, 13, 15, 0, 179, 12, 179, 179]",,Widen your legs
37,"[1, 12, 13, 0, 179, 12, 179, 179]",,Widen your legs
38,"[0, 12, 12, 0, 179, 12, 179, 179]",,Widen your legs
39,"[1, 11, 11, 0, 179, 12, 179, 179]",,Widen your legs
40,"[1, 11, 9, 0, 179, 12, 179, 178]",,Widen your legs
41,"[1, 10, 9, 0, 179, 12, 179, 178]",,Widen your legs
42,"[1, 10, 9, 0, 179, 12, 179, 178]",,Widen your legs
43,"[1, 9, 9, 0, 179, 13, 179, 178]",,Widen your legs
44,"[1, 9, 9, 0, 179, 13, 179, 178]",,Widen your legs
45,"[2, 8, 8, 0, 179, 13, 179, 178]",,Widen your legs
46,"[2, 8, 8, 0, 179, 13, 179, 178]",,Widen your legs
47,"[2, 8, 8, 0, 179, 13, 179, 178]",,Widen your legs
