,Angles,Phase,Correction
0,"[31, 168, 176, 0, 101, 5, 79, 74]",,Widen your legs
1,"[32, 168, 176, 0, 102, 5, 78, 75]",,Widen your legs
2,"[32, 168, 176, 0, 102, 5, 78, 75]",,Widen your legs
3,"[33, 168, 176, 0, 102, 5, 78, 75]",,Widen your legs
4,"[33, 168, 176, 0, 102, 5, 78, 75]",,Widen your legs
5,"[34, 168, 175, 0, 102, 5, 78, 75]",,Widen your legs
6,"[34, 168, 175, 0, 102, 5, 79, 75]",,Widen your legs
7,"[35, 168, 175, 0, 102, 5, 80, 76]",,Widen your legs
8,"[35, 168, 175, 0, 102, 5, 80, 76]",,Widen your legs
9,"[36, 168, 175, 0, 102, 5, 81, 76]",,Widen your legs
10,"[36, 168, 175, 0, 102, 5, 81, 76]",,Widen your legs
11,"[36, 168, 175, 0, 102, 5, 81, 76]",,Widen your legs
12,"[36, 168, 175, 0, 102, 5, 81, 76]",,Widen your legs
13,"[36, 168, 175, 0, 102, 5, 81, 76]",,Widen your legs
14,"[36, 168, 175, 0, 102, 5, 81, 75]",,Widen your legs
15,"[36, 168, 175, 0, 102, 4, 80, 74]",,Widen your legs
16,"[36, 168, 175, 0, 102, 2, 80, 72]",,Widen your legs
17,"[35, 168, 175, 0, 102, 1, 78, 67]",,Widen your legs
18,"[35, 167, 175, 0, 103, 0, 74, 63]",,Widen your legs
19,"[35, 167, 175, 0, 103, 3, 75, 58]",,Widen your legs
20,"[35, 166, 175, 0, 103, 4, 74, 56]",,Widen your legs
21,"[35, 166, 175, 0, 104, 2, 73, 57]",,Widen your legs
22,"[34, 166, 175, 0, 105, 4, 73, 55]",,Widen your legs
23,"[34, 165, 175, 0, 105, 7, 74, 54]",,Widen your legs
24,"[34, 166, 175, 0, 107, 13, 78, 55]",,Widen your legs
25,"[35, 166, 174, 0, 108, 18, 73, 56]",,Widen your legs
26,"[36, 166, 175, 0, 109, 21, 75, 59]",,Widen your legs
27,"[37, 167, 175, 0, 111, 22, 76, 61]",,Widen your legs
28,"[39, 167, 175, 0, 112, 21, 78, 65]",,Widen your legs
29,"[39, 168, 175, 0, 113, 22, 79, 69]",,Widen your legs
30,"[39, 168, 176, 0, 114, 23, 82, 76]",,Widen your legs
31,"[39, 169, 176, 0, 116, 25, 82, 86]",,Widen your legs
32,"[39, 170, 177, 0, 117, 28, 84, 93]",,Widen your legs
33,"[37, 171, 177, 0, 117, 30, 85, 100]",,Widen your legs
34,"[36, 172, 177, 0, 118, 30, 84, 108]",,Widen your legs
35,"[37, 172, 178, 0, 120, 29, 83, 115]",,Widen your legs
36,"[37, 172, 178, 0, 121, 28, 82, 121]",,Widen your legs
37,"[38, 173, 178, 0, 122, 27, 81, 130]",,Widen your legs
38,"[39, 173, 178, 0, 123, 27, 81, 137]",,Widen your legs
39,"[40, 174, 178, 0, 124, 26, 81, 141]",,Widen your legs
40,"[41, 174, 178, 0, 124, 25, 81, 143]",,Widen your legs
41,"[42, 174, 179, 0, 124, 24, 81, 146]",,Widen your legs
42,"[42, 174, 179, 0, 125, 24, 82, 149]",,Widen your legs
43,"[43, 174, 179, 0, 125, 23, 82, 152]",,Widen your legs
44,"[43, 174, 179, 0, 125, 19, 82, 153]",,Widen your legs
45,"[43, 174, 179, 0, 126, 21, 82, 154]",,Widen your legs
46,"[43, 174, 180, 0, 126, 22, 83, 154]",,Widen your legs
